,SUBJECT,TOPIC,SUB TOPIC 1,SUB TOPIC 2,URL
0,Algorithms,Algorithms,Searching_1,Arrays and lists,https://www.youtube.com/watch?v=hT1dIbFQoGE
1,Algorithms,Algorithms,Searching_2,Searching in an array,https://www.youtube.com/watch?v=3XCGzrCxVkw
2,Algorithms,Algorithms,Sorting_1,Selection Sort,https://www.youtube.com/watch?v=1nAgMQSc-4Q
3,Algorithms,Algorithms,Sorting_2,Insertion sort,https://www.youtube.com/watch?v=_EV6xAXf5FA
4,Algorithms,Algorithms,Sorting_3,Merge sort,https://www.youtube.com/watch?v=2UP-XMgOyNw
5,Algorithms,Algorithms,Sorting_4,Merge sort - analysis,https://www.youtube.com/watch?v=Pzs15qv-xTk
6,Algorithms,Algorithms,Sorting_5,Quicksort,https://www.youtube.com/watch?v=RajaRfMJF4I
7,Algorithms,Algorithms,Sorting_6,Quicksort - analysis,https://www.youtube.com/watch?v=N8lzcGiQo9A
8,Algorithms,Algorithms,Hashing,Lec 35: Hashing,https://www.youtube.com/watch?v=2LpVcSARjyE
9,Algorithms,Algorithms,Asymptotic Worst Case Time And Space Complexity_1,"Input size, worst case, average case",https://www.youtube.com/watch?v=Q0pWMzPAdYM
10,Algorithms,Algorithms,Asymptotic Worst Case Time And Space Complexity_2,"Quantifying efficiency: O( ), Omega( ), Theta( )",https://www.youtube.com/watch?v=msj_2TEzRP0
11,Algorithms,Algorithm design techniques,Greedy_1,Interval scheduling,https://www.youtube.com/watch?v=Oe9bxU8lbxE
12,Algorithms,Algorithm design techniques,Greedy_2,Scheduling with deadlines: minimizing lateness,https://www.youtube.com/watch?v=z2OXv1qaSFE
13,Algorithms,Algorithm design techniques,Greedy_3,Huffman codes,https://www.youtube.com/watch?v=yhPjST1w0mk
14,Algorithms,Algorithm design techniques,Dynamic Programming_1,Introduction to dynamic programming,https://www.youtube.com/watch?v=EF953Vafi5c
15,Algorithms,Algorithm design techniques,Dynamic Programming_2,Memoization,https://www.youtube.com/watch?v=IxD1vRA0B4s
16,Algorithms,Algorithm design techniques,Dynamic Programming_3,Grid paths,https://www.youtube.com/watch?v=yTKJcpitONQ
17,Algorithms,Algorithm design techniques,Dynamic Programming_4,Common subwords and subsequences,https://www.youtube.com/watch?v=xdA41xLxwuM
18,Algorithms,Algorithm design techniques,Dynamic Programming_5,Edit distance,https://www.youtube.com/watch?v=3KMX8tBToLA
19,Algorithms,Algorithm design techniques,Dynamic Programming_6,Matrix multiplication,https://www.youtube.com/watch?v=xWni5uErQhI
20,Algorithms,Algorithm design techniques,Divide-and-conquer_1,Counting inversions,https://www.youtube.com/watch?v=938kjf_stNY
21,Algorithms,Algorithm design techniques,Divide-and-conquer_2,Closest pair of points,https://www.youtube.com/watch?v=6UBDkbVhJck
22,Algorithms,Algorithm design techniques,Graph Traversals_1,Introduction to graphs,https://www.youtube.com/watch?v=mi2Fd0W8TaM
23,Algorithms,Algorithm design techniques,Graph Traversals_2,Representing graphs,https://www.youtube.com/watch?v=Y-6IGzmlG4Y
24,Algorithms,Algorithm design techniques,Graph Traversals_3,Breadth first search (BFS),https://www.youtube.com/watch?v=ahXszIXr1NE
25,Algorithms,Algorithm design techniques,Graph Traversals_4,Depth first search (DFS),https://www.youtube.com/watch?v=0n4UtSm5HtE
26,Algorithms,Algorithm design techniques,Graph Traversals_5,Applications of BFS and DFS,https://www.youtube.com/watch?v=Ia6AgDENsf0
27,Algorithms,Algorithm design techniques,Graph Traversals_6,Directed acylic graphs: topological sort,https://www.youtube.com/watch?v=_9a95v2shgQ
28,Algorithms,Algorithm design techniques,Graph Traversals_7,Directed acylic graphs: longest paths,https://www.youtube.com/watch?v=jpIeCsX4oNo
29,Algorithms,Algorithm design techniques,Minimum Spanning Trees_1,Minimum Cost Spanning Trees,https://www.youtube.com/watch?v=rSEc5sIlwSA
30,Algorithms,Algorithm design techniques,Minimum Spanning Trees_2,Prims Algorithm,https://www.youtube.com/watch?v=-M6IzZMpm1Y
31,Algorithms,Algorithm design techniques,Minimum Spanning Trees_3,Kruskals algorithm,https://www.youtube.com/watch?v=b2-vAkasvD0
32,Algorithms,Algorithm design techniques,Shortest Paths_1,Single source shortest paths: Dijkstras algorithm,https://www.youtube.com/watch?v=OGsPQy-lM1w
33,Algorithms,Algorithm design techniques,Shortest Paths_2,Dijkstras algorithm: analysis,https://www.youtube.com/watch?v=nieg8XQQ7i0
34,Algorithms,Algorithm design techniques,Shortest Paths_3,Negative edge weights: Bellman-Ford algorithm,https://www.youtube.com/watch?v=YbbGemzQ5ok
35,Algorithms,Algorithm design techniques,Shortest Paths_4,All pairs shortest paths,https://www.youtube.com/watch?v=_4CGMB5j_CQ
36,Compiler Design,Compiler Design,Lexical Analysis - Part 1,Lexical analysis,https://www.youtube.com/watch?v=xBQEqI91cJM
37,Compiler Design,Compiler Design,Lexical Analysis - Part 2,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=5Vv3HHSeJUA
38,Compiler Design,Compiler Design,Lexical Analysis - Part 3,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=EBTK19pGYiQ
39,Compiler Design,Compiler Design,Lexical Analysis - Part 4,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=zpuouhg1NWM
40,Compiler Design,Compiler Design,Lexical Analysis - Part 5,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=HVkeeVNs1Ws
41,Compiler Design,Compiler Design,Lexical Analysis - Part 6,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=MjTdYxEF0Ug
42,Compiler Design,Compiler Design,Lexical Analysis - Part 7,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=NoLQWQZGmWs
43,Compiler Design,Compiler Design,Lexical Analysis - Part 8,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=IWBCw2CYswg
44,Compiler Design,Compiler Design,Lexical Analysis - Part 9,Lexical Analysis (Contd.),https://www.youtube.com/watch?v=A7BvcTuk1V0
45,Compiler Design,Compiler Design,Parser - Part 1,Parser,https://www.youtube.com/watch?v=IdCT0KgUZXU
46,Compiler Design,Compiler Design,Parser - Part 2,Parser (Contd.),https://www.youtube.com/watch?v=qB3rcEdutFs
47,Compiler Design,Compiler Design,Parser - Part 3,Parser (Contd.),https://www.youtube.com/watch?v=Hpn9rv60NlQ
48,Compiler Design,Compiler Design,Parser - Part 4,Parser (Contd.),https://www.youtube.com/watch?v=yE8JXOwWo5I
49,Compiler Design,Compiler Design,Parser - Part 5,Parser (Contd.),https://www.youtube.com/watch?v=P9uw8XyVtF8
50,Compiler Design,Compiler Design,Parser - Part 6,Parser (Contd.),https://www.youtube.com/watch?v=T8Kmq-4O4hA
51,Compiler Design,Compiler Design,Parser - Part 7,Parser (Contd.),https://www.youtube.com/watch?v=PEWYrFEZBTg
52,Compiler Design,Compiler Design,Parser - Part 8,Parser (Contd.),https://www.youtube.com/watch?v=fz343jMkztY
53,Compiler Design,Compiler Design,Parser - Part 9,Parser (Contd.),https://www.youtube.com/watch?v=1cS7MMI7AW0
54,Compiler Design,Compiler Design,Parser - Part 10,Parser (Contd.),https://www.youtube.com/watch?v=mXJ6Ega1olM
55,Compiler Design,Compiler Design,Parser - Part 11,Parser (Contd.),https://www.youtube.com/watch?v=G4LKvUireu4
56,Compiler Design,Compiler Design,Parser - Part 12,Parser (Contd.),https://www.youtube.com/watch?v=tvNy8-oqoq0
57,Compiler Design,Compiler Design,Parser - Part 13,Parser (Contd.),https://www.youtube.com/watch?v=W9ZYZpcB74c
58,Compiler Design,Compiler Design,Parser - Part 14,Parser (Contd.),https://www.youtube.com/watch?v=QFVorwdIZRg
59,Compiler Design,Compiler Design,Parser - Part 15,Parser (Contd.),https://www.youtube.com/watch?v=LRyPoWMHlm0
60,Compiler Design,Compiler Design,Parser - Part 16,Parser (Contd.),https://www.youtube.com/watch?v=TytQ3XsDGWk
61,Compiler Design,Compiler Design,Symbol Table (Contd.) And Runtime Environment - Part 1,Symbol Table (Contd.) and Runtime Environment,https://www.youtube.com/watch?v=uVaY1eKI2WY
62,Compiler Design,Compiler Design,Runtime Environment - Part 2,Runtime Environment,https://www.youtube.com/watch?v=RS822U7naxQ
63,Compiler Design,Compiler Design,Runtime Environment - Part 3,Runtime Environment (Contd.),https://www.youtube.com/watch?v=-G5aPgAgZxU
64,Compiler Design,Compiler Design,Runtime Environment - Part 4,Runtime Environment (Contd.),https://www.youtube.com/watch?v=3kKCeIwHUHY
65,Compiler Design,Compiler Design,Intermediate Code Generation - Part 1,Intermediate Code Generation,https://www.youtube.com/watch?v=Gc6PpW_SxKY
66,Compiler Design,Compiler Design,Intermediate Code Generation - Part 2,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=QgqgAfSR-1g
67,Compiler Design,Compiler Design,Intermediate Code Generation - Part 3,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=yVLRP_dBpHI
68,Compiler Design,Compiler Design,Intermediate Code Generation - Part 4,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=1vgrUXhrlm0
69,Compiler Design,Compiler Design,Intermediate Code Generation - Part 5,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=vWU2QQp0HBk
70,Compiler Design,Compiler Design,Intermediate Code Generation - Part 6,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=brrgSY-hhZA
71,Compiler Design,Compiler Design,Intermediate Code Generation - Part 7,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=iI83JmuR73o
72,Compiler Design,Compiler Design,Intermediate Code Generation - Part 8,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=np4vX8ADNHI
73,Compiler Design,Compiler Design,Intermediate Code Generation - Part 9,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=udKNLaK1dqM
74,Compiler Design,Compiler Design,Intermediate Code Generation - Part 10,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=GOqV7x45eqs
75,Compiler Design,Compiler Design,Intermediate Code Generation - Part 11,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=rRW0NkJgBbo
76,Compiler Design,Compiler Design,Intermediate Code Generation - Part 12,Intermediate Code Generation (Contd.),https://www.youtube.com/watch?v=GCE20jvFv5k
77,Compiler Design,Compiler Design,Local Optimisation,"Principles of Compiler Design 
Local Optimizations",https://www.youtube.com/watch?v=G1qRCb1RoVc
78,Compiler Design,Data flow analyses,Constant Propagation,"Principles of Compiler Design
Machine Independent Optimization Lecture 1",https://www.youtube.com/watch?v=0WIOEcjF_wE
79,Compiler Design,Data flow analyses,Common Subexpression Elimination,"Principles of Compiler Design
Machine Independent Optimization Lecture 1",https://www.youtube.com/watch?v=0WIOEcjF_wE
80,Computer Networks,Concept of layering,OSI And TCP/IP Protocol Stacks,Lecture 50 Introduction to Network Protocol Layers by NPTEL IIT MADRAS,https://www.youtube.com/watch?v=_9QayISruzo
81,Computer Networks,Concept of layering,Basics Of Packet Circuit And Virtual Circuit-switching,Lecture 19 Switching Techniques Packet Switching,https://www.youtube.com/watch?v=SaQ3RhRVT6c
82,Computer Networks,Data link layer,Framing,Lecture - 15 Data Link Protocols,https://www.youtube.com/watch?v=pVl1L1jrbFE
83,Computer Networks,Data link layer,Error Detection,Lecture 15: Error Detection and Correction,https://www.youtube.com/watch?v=aNqiTCZ-nko
84,Computer Networks,Data link layer,Medium Access Control,Lecture - 25 Medium Access Control - I,https://www.youtube.com/watch?v=sx0UPzztC5o
85,Computer Networks,Data link layer,Ethernet Bridging,Lecture - 28 IEEE 802 LANs,https://www.youtube.com/watch?v=QhKIaK4ReUA
86,Computer Networks,Routing protocols,Shortest Path,Lec-20 Shortest Path Problem,https://www.youtube.com/watch?v=wVu5qN0E4ww
87,Computer Networks,Routing protocols,Flooding,Lecture - 20 Routing - I,https://www.youtube.com/watch?v=u0BTdiqhVRI
88,Computer Networks,Routing protocols,Distance Vector,Lecture - 27 RIP - Distance Vector Routing,https://www.youtube.com/watch?v=_SxlpxqIs-s
89,Computer Networks,Routing protocols,Link State Routing,Lecture - 21 Routing - II,https://www.youtube.com/watch?v=C3trPo6qVv4
90,Computer Networks,Routing protocols,Fragmentation And IP Addressing,Lecture 28 - IP version 4,https://www.youtube.com/watch?v=wbp5DDSCrUw
91,Computer Networks,Routing protocols,IPv4,Lecture 28 - IP version 4,https://www.youtube.com/watch?v=wbp5DDSCrUw
92,Computer Networks,Routing protocols,CIDR Notation,Lecture - 6 IP Subnetting and Addressing,https://www.youtube.com/watch?v=nhGRUmtnGB4
93,Computer Networks,Routing protocols,"Basics Of IP Support Protocols (ARP,DHCP,ICMP)",Lecture - 33 DHCP and ICMP,https://www.youtube.com/watch?v=jbCET7fn9aI
94,Computer Networks,Routing protocols,Network Address Translation (NAT),Lecture 29: IP Addressing (IPv4) III - Network Address Translation (NAT),https://www.youtube.com/watch?v=_MZbwHyE0Ck
95,Computer Networks,Routing protocols,Transport Layer: Flow Control And Congestion Control,Lecture - 35 Congestion Control,https://www.youtube.com/watch?v=V4QYffX9v60
96,Computer Networks,Routing protocols,UDP,1. Lecture 23 User Datagram Protocol,https://www.youtube.com/watch?v=f1y25BfOH9I
97,Computer Networks,Routing protocols,TCP,Lecture - 31 TCP,https://www.youtube.com/watch?v=KCcdF4IVrQk
98,Computer Networks,Routing protocols,Sockets,Lecture 24 : Socket Programming - I,https://www.youtube.com/watch?v=x7obJLN7FcQ
99,Computer Networks,Application layer protocols,DNS,1. Lecture 5 Application Layer-I,https://www.youtube.com/watch?v=5AHp0f0489E
100,Computer Networks,Application layer protocols,SMTP,1. Lecture 5 Application Layer-I,https://www.youtube.com/watch?v=5AHp0f0489E
101,Computer Networks,Application layer protocols,HTTP,1. Lecture 5 Application Layer-I,https://www.youtube.com/watch?v=5AHp0f0489E
102,Computer Networks,Application layer protocols,FTP,1. Lecture 5 Application Layer-I,https://www.youtube.com/watch?v=5AHp0f0489E
103,Computer Networks,Application layer protocols,Email,1. Lecture 5 Application Layer-I,https://www.youtube.com/watch?v=5AHp0f0489E
104,Computer Organization and Architecture,Computer Organization and Architecture,Machine Instruction_1,COA [Module 02 - Lecture 03]: Instruction Execution,https://www.youtube.com/watch?v=HfPS8DCzxEE
105,Computer Organization and Architecture,Computer Organization and Architecture,Machine Instruction_2,COA [Module 02 - Lecture 04]: Instruction Format,https://www.youtube.com/watch?v=H7QrDhPFwIA
106,Computer Organization and Architecture,Computer Organization and Architecture,Machine Instruction_3,COA [Module 02 - Lecture 05]: Instruction Set,https://www.youtube.com/watch?v=BEvWyiDu4x4
107,Computer Organization and Architecture,Computer Organization and Architecture,Addressing Modes,COA [Module 02 - Lecture 06]: Addressing Modes,https://www.youtube.com/watch?v=k_QgyvsqtwA
108,Computer Organization and Architecture,Computer Organization and Architecture,ALU_1,"Lecture -11 Binary Arithmetic, ALU Design",https://www.youtube.com/watch?v=RkAE4zE4uSE
109,Computer Organization and Architecture,Computer Organization and Architecture,ALU_2,"Lecture -12 ALU Design, Overflow",https://www.youtube.com/watch?v=kpzx5U0CKqs
110,Computer Organization and Architecture,Computer Organization and Architecture,Data-path And Control Unit_1,Lecture 17 : DESIGN OF CONTROL UNIT (PART 1),https://www.youtube.com/watch?v=X9pcXcOUESk
111,Computer Organization and Architecture,Computer Organization and Architecture,Data-path And Control Unit_2,Lecture 18 :DESIGN OF CONTROL UNIT (PART 2),https://www.youtube.com/watch?v=yOiyz1heBfs
112,Computer Organization and Architecture,Computer Organization and Architecture,Data-path And Control Unit_3,Lecture 19 : DESIGN OF CONTROL UNIT (PART 3),https://www.youtube.com/watch?v=DKfxpWHrD30
113,Computer Organization and Architecture,Computer Organization and Architecture,Data-path And Control Unit_4,Lecture 20 : DESIGN OF CONTROL UNIT (PART 4),https://www.youtube.com/watch?v=cxXtbj3BvSg
114,Computer Organization and Architecture,Computer Organization and Architecture,Instruction Pipelining_1,Lecture 40 : BASIC PIPELINING CONCEPTS,https://www.youtube.com/watch?v=R41DfN3NpIM
115,Computer Organization and Architecture,Computer Organization and Architecture,Instruction Pipelining_2,Lecture 41 : PIPELINE SCHEDULING,https://www.youtube.com/watch?v=Z9gvdQU6IAE
116,Computer Organization and Architecture,Computer Organization and Architecture,Instruction Pipelining_3,mod11lec53,https://www.youtube.com/watch?v=Ov1RXbFXxp0
117,Computer Organization and Architecture,Computer Organization and Architecture,Instruction Pipelining_4,mod11lec54,https://www.youtube.com/watch?v=D1nOWxre0_4
118,Computer Organization and Architecture,Computer Organization and Architecture,Pipeline Hazards_1,mod11lec55,https://www.youtube.com/watch?v=ZvcKNrsxLiI
119,Computer Organization and Architecture,Computer Organization and Architecture,Pipeline Hazards_2,mod11lec56,https://www.youtube.com/watch?v=YMuV06frDTg
120,Computer Organization and Architecture,Computer Organization and Architecture,Pipeline Hazards_3,mod11lec57,https://www.youtube.com/watch?v=oZRaDi70Ta4
121,Computer Organization and Architecture,Computer Organization and Architecture,Pipeline Hazards_4,mod11lec58,https://www.youtube.com/watch?v=1C4q2Y4ERF4
122,Computer Organization and Architecture,Memory hierarchy,"Cache, Main Memory And Secondary Storage_1",Lecture 28 : MEMORY HIERARCHY DESIGN (PART 1),https://www.youtube.com/watch?v=X-XwOXdUPU4
123,Computer Organization and Architecture,Memory hierarchy,"Cache, Main Memory And Secondary Storage_2",Lecture 29 : MEMORY HIERARCHY DESIGN (PART 2),https://www.youtube.com/watch?v=mDdFd5Jmrqs
124,Computer Organization and Architecture,Memory hierarchy,"Cache, Main Memory And Secondary Storage_3",Lecture 30 : CACHE MEMORY (PART 1),https://www.youtube.com/watch?v=aeDyDIo-G44
125,Computer Organization and Architecture,Memory hierarchy,"Cache, Main Memory And Secondary Storage_4",Lecture 31 : CACHE MEMORY (PART 2),https://www.youtube.com/watch?v=Em2y6CTLU6o
126,Computer Organization and Architecture,Memory hierarchy,"Cache, Main Memory And Secondary Storage_5",Lecture 32 : IMPROVING CACHE PERFORMANCE,https://www.youtube.com/watch?v=uuYc1CdQg7M
127,Computer Organization and Architecture,I/O interface,Interrupt_1,Lecture 46 : INTERRUPT HANDLING (PART 1),https://www.youtube.com/watch?v=Wfau1WC5m4c
128,Computer Organization and Architecture,I/O interface,Interrupt_2,Lecture 47 : INTERRUPT HANDLING (PART 2),https://www.youtube.com/watch?v=Zw79moR2gFs
129,Computer Organization and Architecture,I/O interface,DMA Mode,mod10lec48,https://www.youtube.com/watch?v=Q7YdIhbRea0
130,Databases,"ER-model,",ER-model_1,Entity-Relationship Model/1,https://www.youtube.com/watch?v=cx7rBTS2dBM
131,Databases,"ER-model,",ER-model_2,Entity-Relationship Model/2,https://www.youtube.com/watch?v=pm_Tr3eZAac
132,Databases,"ER-model,",ER-model_3,Entity-Relationship Model/3,https://www.youtube.com/watch?v=LMAELfNAGF4
133,Databases,Relational model,Relational Algebra,Formal Relational Query Languages,https://www.youtube.com/watch?v=iHrvzgQxybY
134,Databases,Relational model,Tuple Calculus,Formal Relational Query Languages,https://www.youtube.com/watch?v=iHrvzgQxybY
135,Databases,Relational model,"SQL, Integrity Constraints_1",Introduction to SQL/1,https://www.youtube.com/watch?v=w1XdPholzWY
136,Databases,Relational model,"SQL, Integrity Constraints_2",Introduction to SQL/2,https://www.youtube.com/watch?v=ywUn5qNmxNo
137,Databases,Relational model,"SQL, Integrity Constraints_3",Introduction to SQL/3,https://www.youtube.com/watch?v=fsDBUDKC_iM
138,Databases,Relational model,"SQL, Integrity Constraints_4",Intermediate SQL/1,https://www.youtube.com/watch?v=A0h9DFU0xEc
